job_id,title,company,location,skills_required,experience_required,salary_min,salary_max,job_type,description,apply_link
11,Cloud Engineer,Corvit Systems,Rawalpindi,AWS Azure GCP Terraform Linux Networking CloudFormation,3,90000,140000,Full-time,Design and implement cloud architectures for enterprise clients with focus on scalability and security.,https://www.linkedin.com/jobs/search/?keywords=Cloud+Engineer&location=Rawalpindi%2C+Pakistan
12,Cybersecurity Analyst,PTCL,Islamabad,Network Security Penetration Testing SIEM Firewalls SOC,3,80000,130000,Full-time,Protect company infrastructure from cyber threats and vulnerabilities through proactive security monitoring.,https://www.linkedin.com/jobs/search/?keywords=Cybersecurity+Analyst&location=Islamabad%2C+Pakistan
13,Data Analyst,Jazz Telecom,Karachi,SQL Python PowerBI Excel Data Visualization Statistics Tableau,1,55000,85000,Full-time,Analyze telecom data to drive business decisions and generate customer insights for product teams.,https://www.linkedin.com/jobs/search/?keywords=Data+Analyst&location=Karachi%2C+Pakistan
14,NLP Engineer,Airlift Technologies,Lahore,Python NLP BERT Transformers spaCy Text Classification Hugging Face,3,110000,160000,Full-time,Build intelligent text processing systems and conversational AI for our logistics platform.,https://www.linkedin.com/jobs/search/?keywords=NLP+Engineer&location=Lahore%2C+Pakistan
15,ERP Developer,SAP Pakistan,Karachi,SAP ABAP FI MM SD ERP Business Processes BAPI,4,120000,200000,Full-time,Develop and customize SAP ERP modules for large enterprise clients in Pakistan and Middle East.,https://www.linkedin.com/jobs/search/?keywords=SAP+ERP+Developer&location=Karachi%2C+Pakistan
16,React Native Developer,Softech Worldwide,Lahore,React Native JavaScript iOS Android Redux TypeScript,2,75000,115000,Full-time,Build cross-platform mobile apps using React Native for clients in e-commerce and fintech sectors.,https://www.linkedin.com/jobs/search/?keywords=React+Native+Developer&location=Lahore%2C+Pakistan
17,Blockchain Developer,PostEx,Lahore,Solidity Ethereum Web3.js Smart Contracts JavaScript Hardhat,3,100000,160000,Full-time,Develop decentralized applications and smart contracts for our blockchain-based logistics platform.,https://www.linkedin.com/jobs/search/?keywords=Blockchain+Developer&location=Lahore%2C+Pakistan
18,Software QA Engineer,Comsats IT,Islamabad,Selenium Pytest Test Automation JIRA Manual Testing Postman,2,55000,85000,Full-time,Ensure software quality through manual and automated testing strategies across multiple product lines.,https://www.linkedin.com/jobs/search/?keywords=QA+Engineer&location=Islamabad%2C+Pakistan
19,Embedded Systems Engineer,Mentor Engineering,Karachi,C C++ RTOS Microcontrollers PCB Design Arduino STM32,3,80000,130000,Full-time,Design and develop firmware for embedded hardware products in automotive and industrial domains.,https://www.linkedin.com/jobs/search/?keywords=Embedded+Systems+Engineer&location=Karachi%2C+Pakistan
20,Game Developer,Mindstorm Studios,Lahore,Unity C# Game Design 3D Modeling Unreal Engine Physics,2,70000,110000,Full-time,Create immersive gaming experiences for mobile and PC platforms published on global app stores.,https://www.linkedin.com/jobs/search/?keywords=Game+Developer&location=Lahore%2C+Pakistan
21,Software Engineer,Bytewise Limited,Lahore,Java Spring Boot Microservices SQL Git REST API,2,75000,115000,Full-time,Develop robust backend services and microservices using Java Spring Boot for fintech applications.,https://www.linkedin.com/jobs/search/?keywords=Software+Engineer&location=Lahore%2C+Pakistan
22,Data Engineer,i2c Inc,Lahore,Python Spark Hadoop SQL ETL Airflow AWS Data Pipelines,3,100000,155000,Full-time,Build and maintain large-scale data pipelines and warehousing solutions for global payment systems.,https://www.linkedin.com/jobs/search/?keywords=Data+Engineer&location=Lahore%2C+Pakistan
23,Network Engineer,Wateen Telecom,Lahore,Cisco Routing Switching CCNA MPLS BGP Network Monitoring,3,65000,100000,Full-time,Design configure and maintain enterprise network infrastructure for telecom customers across Pakistan.,https://www.linkedin.com/jobs/search/?keywords=Network+Engineer&location=Lahore%2C+Pakistan
24,Product Manager,Careem,Karachi,Product Strategy Agile JIRA Roadmapping User Stories Stakeholder Management,4,150000,220000,Full-time,Lead product development from ideation to launch for our ride-hailing and delivery services in Pakistan.,https://www.linkedin.com/jobs/search/?keywords=Product+Manager&location=Karachi%2C+Pakistan
25,Graphic Designer,Creative Chaos,Karachi,Adobe Photoshop Illustrator InDesign Branding Typography Motion Graphics,2,50000,80000,Full-time,Create visually compelling designs for digital and print media for clients across North America and Pakistan.,https://www.linkedin.com/jobs/search/?keywords=Graphic+Designer&location=Karachi%2C+Pakistan
26,PHP Developer,Programmers Force,Lahore,PHP Laravel MySQL REST API JavaScript Vue.js,2,60000,95000,Full-time,Develop web applications using PHP Laravel framework with clean code practices and RESTful APIs.,https://www.linkedin.com/jobs/search/?keywords=PHP+Laravel+Developer&location=Lahore%2C+Pakistan
27,Content Writer,Rozee.pk,Lahore,Content Writing SEO WordPress Copywriting Research Communication,1,35000,60000,Full-time,Create engaging content for job portal blogs email newsletters and social media channels.,https://www.linkedin.com/jobs/search/?keywords=Content+Writer&location=Lahore%2C+Pakistan
28,Digital Marketing Specialist,Daraz Pakistan,Karachi,Google Ads Facebook Ads SEO SEM Email Marketing Analytics,2,65000,100000,Full-time,Drive online growth and customer acquisition through data-driven digital marketing campaigns.,https://www.linkedin.com/jobs/search/?keywords=Digital+Marketing+Specialist&location=Karachi%2C+Pakistan
29,Computer Vision Engineer,Intelexoft,Islamabad,Python OpenCV TensorFlow Object Detection Image Processing YOLO,3,110000,165000,Full-time,Develop computer vision solutions for industrial automation and smart surveillance applications.,https://www.linkedin.com/jobs/search/?keywords=Computer+Vision+Engineer&location=Islamabad%2C+Pakistan
30,Database Administrator,National Bank of Pakistan,Karachi,Oracle SQL Server PostgreSQL Database Tuning Backup Recovery,4,90000,140000,Full-time,Manage and optimize enterprise databases for one of Pakistan largest banking institutions.,https://www.linkedin.com/jobs/search/?keywords=Database+Administrator&location=Karachi%2C+Pakistan
31,Flutter Developer,Hutch Pakistan,Karachi,Flutter Dart Firebase iOS Android REST API,2,70000,110000,Full-time,Build cross-platform mobile applications using Flutter for our growing fintech product portfolio.,https://www.linkedin.com/jobs/search/?keywords=Flutter+Developer&location=Karachi%2C+Pakistan
32,Angular Developer,MTBC,Rawalpindi,Angular TypeScript HTML CSS RxJS REST API NgRx,2,65000,100000,Full-time,Develop healthcare web applications using Angular framework for US-based healthcare management company.,https://www.linkedin.com/jobs/search/?keywords=Angular+Developer&location=Rawalpindi%2C+Pakistan
33,Salesforce Developer,Dubizzle Labs,Karachi,Salesforce Apex LWC SOQL CRM Integration Flows,3,100000,155000,Full-time,Build and customize Salesforce CRM solutions for Middle East real estate and classifieds market.,https://www.linkedin.com/jobs/search/?keywords=Salesforce+Developer&location=Karachi%2C+Pakistan
34,React Developer,Confiz Limited,Lahore,React JavaScript Redux TypeScript Jest REST API GraphQL,2,70000,110000,Full-time,Build modern and performant web applications using React ecosystem for US and European clients.,https://www.linkedin.com/jobs/search/?keywords=React+Developer&location=Lahore%2C+Pakistan
35,AI Research Engineer,NUST Innovation Center,Islamabad,Python Deep Learning Research PyTorch NLP Computer Vision Publications,4,120000,180000,Full-time,Conduct applied AI research and develop proof of concept systems for national technology initiatives.,https://www.linkedin.com/jobs/search/?keywords=AI+Research+Engineer&location=Islamabad%2C+Pakistan
36,Power BI Developer,Ernst and Young Pakistan,Karachi,Power BI DAX SQL Data Modeling Visualization Dashboard,3,90000,140000,Full-time,Develop insightful business intelligence dashboards and reports for EY consulting clients in Pakistan.,https://www.linkedin.com/jobs/search/?keywords=Power+BI+Developer&location=Karachi%2C+Pakistan
37,Laravel Developer,Xord,Lahore,Laravel PHP MySQL Vue.js REST API Docker Git,2,65000,100000,Full-time,Build robust web applications and APIs using Laravel PHP for blockchain and technology clients.,https://www.linkedin.com/jobs/search/?keywords=Laravel+Developer&location=Lahore%2C+Pakistan
38,AWS Solutions Architect,CloudTech Pakistan,Islamabad,AWS Lambda EC2 S3 RDS CloudFormation Serverless Architecture,5,150000,230000,Full-time,Design cost-effective and scalable AWS cloud architectures for Pakistani and international enterprises.,https://www.linkedin.com/jobs/search/?keywords=AWS+Solutions+Architect&location=Islamabad%2C+Pakistan
39,Penetration Tester,CyberForce,Islamabad,Ethical Hacking Kali Linux Burp Suite Metasploit OWASP Vulnerability Assessment,3,90000,145000,Full-time,Conduct penetration testing and security assessments for government and private sector clients.,https://www.linkedin.com/jobs/search/?keywords=Penetration+Tester&location=Islamabad%2C+Pakistan
40,Java Developer,NetSol Technologies,Lahore,Java Spring Hibernate REST API SQL Microservices Maven,3,80000,125000,Full-time,Build enterprise-grade financial software solutions using Java ecosystem for global leasing companies.,https://www.linkedin.com/jobs/search/?keywords=Java+Developer&location=Lahore%2C+Pakistan
41,MLOps Engineer,Alphastack,Islamabad,MLOps Docker Kubernetes Python AWS SageMaker Model Deployment,4,120000,185000,Full-time,Build and manage ML infrastructure and model deployment pipelines for enterprise AI products.,https://www.linkedin.com/jobs/search/?keywords=MLOps+Engineer&location=Islamabad%2C+Pakistan
42,Kotlin Developer,Oraan,Karachi,Kotlin Android Jetpack Compose MVVM Firebase REST API,2,70000,110000,Full-time,Build Android features for Pakistan leading digital committee savings and investment platform.,https://www.linkedin.com/jobs/search/?keywords=Kotlin+Android+Developer&location=Karachi%2C+Pakistan
43,Node.js Developer,Enablers,Lahore,Node.js Express MongoDB REST API JavaScript AWS,2,65000,100000,Full-time,Build scalable backend APIs and services for e-commerce enabling and seller management platforms.,https://www.linkedin.com/jobs/search/?keywords=Node.js+Developer&location=Lahore%2C+Pakistan
44,iOS Swift Developer,Airlift Technologies,Lahore,Swift UIKit SwiftUI Core Data Push Notifications REST API Xcode,3,90000,140000,Full-time,Build and maintain features for Airlift iOS app serving thousands of delivery riders across Pakistan.,https://www.linkedin.com/jobs/search/?keywords=iOS+Swift+Developer&location=Lahore%2C+Pakistan
45,Linux Systems Administrator,Nayatel,Islamabad,Linux Shell Scripting Apache Nginx MySQL Server Administration,3,70000,110000,Full-time,Administer and maintain Linux servers and network infrastructure for a fiber optic broadband provider.,https://www.linkedin.com/jobs/search/?keywords=Linux+System+Administrator&location=Islamabad%2C+Pakistan
46,QA Automation Engineer,Gaditek,Karachi,Selenium Python Pytest Cypress CI/CD JIRA Test Planning,3,75000,120000,Full-time,Build and maintain automated test suites for cloud-based cybersecurity and VPN product lines.,https://www.linkedin.com/jobs/search/?keywords=QA+Automation+Engineer&location=Karachi%2C+Pakistan
47,Golang Developer,Securiti AI,Karachi,Go Golang Microservices Kubernetes REST API gRPC Docker,3,110000,170000,Full-time,Build high-performance backend services in Go for an AI-powered data security and privacy platform.,https://www.linkedin.com/jobs/search/?keywords=Golang+Developer&location=Karachi%2C+Pakistan
48,SEO Specialist,PureVPN,Karachi,SEO On-Page Off-Page Link Building Google Analytics Keyword Research,2,60000,95000,Full-time,Improve organic search rankings and traffic for PureVPN website competing in global VPN market.,https://www.linkedin.com/jobs/search/?keywords=SEO+Specialist&location=Karachi%2C+Pakistan
49,Python Django Developer,PureLogics,Lahore,Python Django REST Framework PostgreSQL Celery Redis AWS,2,70000,110000,Full-time,Build web applications and REST APIs using Python Django for clients in healthcare and education sectors.,https://www.linkedin.com/jobs/search/?keywords=Python+Django+Developer&location=Lahore%2C+Pakistan
50,Digital Marketing Specialist,Daraz Pakistan,Lahore,Google Ads Facebook Ads SEO SEM Email Marketing Analytics,2,65000,100000,Full-time,Drive online growth and customer acquisition through data-driven digital marketing campaigns.,https://www.linkedin.com/jobs/search/?keywords=Digital+Marketing+Specialist&location=Lahore%2C+Pakistan
51,Software Engineering Manager,Bazaar Technologies,Karachi,Engineering Management Agile Python Node.js Team Leadership Architecture,6,200000,300000,Full-time,Lead multiple engineering teams building Pakistan B2B commerce platform for retail and kiryana stores.,https://www.linkedin.com/jobs/search/?keywords=Software+Engineering+Manager&location=Karachi%2C+Pakistan
52,SAP FICO Consultant,Deloitte Pakistan,Karachi,SAP FICO Financial Accounting Controlling ERP General Ledger,5,140000,220000,Full-time,Implement and configure SAP Finance and Controlling modules for large enterprise clients in Pakistan.,https://www.linkedin.com/jobs/search/?keywords=SAP+FICO+Consultant&location=Karachi%2C+Pakistan
53,Product Designer,Cheetay,Lahore,Figma Product Design UI UX Prototyping Design Systems User Research,3,85000,130000,Full-time,Design user-centered product experiences for Cheetay instant delivery platform used across Pakistan cities.,https://www.linkedin.com/jobs/search/?keywords=Product+Designer&location=Lahore%2C+Pakistan
54,Backend Python Developer,Rewayat,Lahore,Python FastAPI PostgreSQL Docker Redis Celery API Design,2,75000,115000,Full-time,Build scalable backend services for Islamic digital content and streaming platform in Middle East.,https://www.linkedin.com/jobs/search/?keywords=Backend+Python+Developer&location=Lahore%2C+Pakistan
55,C# .NET Developer,Softvision,Islamabad,C# ASP.NET MVC Entity Framework SQL Server Azure REST API,3,80000,125000,Full-time,Develop enterprise web applications using Microsoft .NET stack for UK and US software outsourcing projects.,https://www.linkedin.com/jobs/search/?keywords=C%23+.NET+Developer&location=Islamabad%2C+Pakistan
56,Junior Software Engineer,KalSoft,Lahore,Python JavaScript HTML CSS Git SQL Problem Solving,0,45000,70000,Full-time,Entry-level role for fresh graduates to build web applications and software under senior developer guidance.,https://www.linkedin.com/jobs/search/?keywords=Junior+Software+Engineer&location=Lahore%2C+Pakistan
57,Data Science Intern,Zones IT Solutions,Islamabad,Python Pandas NumPy Machine Learning Data Visualization,0,30000,50000,Internship,Learn and apply data science techniques to real business problems during a 6-month paid internship.,https://www.linkedin.com/jobs/search/?keywords=Data+Science+Intern&location=Islamabad%2C+Pakistan
58,Machine Learning Intern,LUMS AI Lab,Lahore,Python Machine Learning Deep Learning NumPy Research,0,25000,45000,Internship,Work with PhD researchers on applied machine learning research projects at LUMS university AI lab.,https://www.linkedin.com/jobs/search/?keywords=Machine+Learning+Intern&location=Lahore%2C+Pakistan
59,Junior Data Analyst,Zameen.com,Lahore,Excel SQL Google Analytics Basic Python Data Visualization Reports,0,40000,65000,Full-time,Analyze real estate market data and generate reports for Pakistan leading property portal company.,https://www.linkedin.com/jobs/search/?keywords=Junior+Data+Analyst&location=Lahore%2C+Pakistan
60,Fintech Developer,Easypaisa,Islamabad,Java Spring Boot Microservices Kafka Payment Systems REST API,3,100000,160000,Full-time,Build secure and scalable digital payment features for Pakistan most widely used mobile wallet platform.,https://www.linkedin.com/jobs/search/?keywords=Fintech+Developer&location=Islamabad%2C+Pakistan
61,WordPress Developer,Cloudways,Karachi,WordPress PHP MySQL JavaScript WooCommerce Performance Optimization,2,60000,95000,Full-time,Develop high-performance WordPress websites and plugins for Cloudways managed hosting platform clients.,https://www.linkedin.com/jobs/search/?keywords=WordPress+Developer&location=Karachi%2C+Pakistan
62,Big Data Engineer,TPS Pakistan,Karachi,Hadoop Spark Hive Kafka Python Scala Data Lakes,4,110000,170000,Full-time,Process and analyze massive datasets for payment processing and fintech analytics platforms.,https://www.linkedin.com/jobs/search/?keywords=Big+Data+Engineer&location=Karachi%2C+Pakistan
63,UX Researcher,Careem,Lahore,User Research Usability Testing Interviews Figma Survey Design Analytics,3,85000,130000,Full-time,Conduct user research to drive product decisions for Careem super app features in Pakistan.,https://www.linkedin.com/jobs/search/?keywords=UX+Researcher&location=Lahore%2C+Pakistan
64,Scrum Master,Systems Limited,Karachi,Agile Scrum JIRA Sprint Planning Retrospectives Team Facilitation,4,110000,165000,Full-time,Facilitate agile ceremonies and remove impediments for multiple software development teams.,https://www.linkedin.com/jobs/search/?keywords=Scrum+Master&location=Karachi%2C+Pakistan
65,Financial Analyst,HBL Pakistan,Karachi,Financial Modeling Excel PowerBI Bloomberg Accounting Risk Analysis,3,85000,135000,Full-time,Perform financial analysis and reporting for HBL corporate banking and investment portfolio management.,https://www.linkedin.com/jobs/search/?keywords=Financial+Analyst&location=Karachi%2C+Pakistan
66,Tableau Developer,Engro Corporation,Karachi,Tableau SQL Data Visualization Business Intelligence Dashboard Design,3,90000,140000,Full-time,Build data visualization dashboards for Engro Group business units including fertilizer and energy sectors.,https://www.linkedin.com/jobs/search/?keywords=Tableau+Developer&location=Karachi%2C+Pakistan
67,HR Manager,Telenor Pakistan,Islamabad,Human Resources Recruitment Employee Relations HRIS Labor Law,5,120000,180000,Full-time,Lead HR operations talent acquisition and employee engagement for a leading telecom company in Pakistan.,https://www.linkedin.com/jobs/search/?keywords=HR+Manager&location=Islamabad%2C+Pakistan
68,Network Engineer,Wateen Telecom,Karachi,Cisco Routing Switching CCNA MPLS BGP Network Monitoring,3,65000,100000,Full-time,Design configure and maintain enterprise network infrastructure for telecom customers across Pakistan.,https://www.linkedin.com/jobs/search/?keywords=Network+Engineer&location=Karachi%2C+Pakistan
69,C++ Developer,Avanza Solutions,Karachi,C++ STL Object Oriented Design Algorithms Multithreading,4,95000,150000,Full-time,Develop high-performance financial transaction processing systems using C++ for banking clients.,https://www.linkedin.com/jobs/search/?keywords=C%2B%2B+Developer&location=Karachi%2C+Pakistan
70,Digital Transformation Consultant,KPMG Pakistan,Karachi,Digital Strategy Process Automation Cloud ERP Change Management,6,180000,280000,Full-time,Guide enterprises through digital transformation journeys leveraging cloud ERP and AI technologies.,https://www.linkedin.com/jobs/search/?keywords=Digital+Transformation+Consultant&location=Karachi%2C+Pakistan
